driver,driver_label,scenario,year,value,rationale
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),worst,2026,0.12,"NOLs exhausted faster than expected as income grows quicker than assumed, reaching full statutory-plus-state rate by year 5."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),worst,2027,0.1575,"NOLs exhausted faster than expected as income grows quicker than assumed, reaching full statutory-plus-state rate by year 5."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),worst,2028,0.195,"NOLs exhausted faster than expected as income grows quicker than assumed, reaching full statutory-plus-state rate by year 5."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),worst,2029,0.2325,"NOLs exhausted faster than expected as income grows quicker than assumed, reaching full statutory-plus-state rate by year 5."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),worst,2030,0.27,"NOLs exhausted faster than expected as income grows quicker than assumed, reaching full statutory-plus-state rate by year 5."
dso_days,DSO (days sales outstanding),base,2026,1.5,"Held flat near FY25's 1.4 days - receivables are immaterial for a cash/card-driven DTC retailer (this line is mostly wholesale/insurance reimbursement), so it's a low-priority driver with minimal forecast impact regardless of scenario."
dso_days,DSO (days sales outstanding),base,2027,1.5,"Held flat near FY25's 1.4 days - receivables are immaterial for a cash/card-driven DTC retailer (this line is mostly wholesale/insurance reimbursement), so it's a low-priority driver with minimal forecast impact regardless of scenario."
dso_days,DSO (days sales outstanding),base,2028,1.5,"Held flat near FY25's 1.4 days - receivables are immaterial for a cash/card-driven DTC retailer (this line is mostly wholesale/insurance reimbursement), so it's a low-priority driver with minimal forecast impact regardless of scenario."
dso_days,DSO (days sales outstanding),base,2029,1.5,"Held flat near FY25's 1.4 days - receivables are immaterial for a cash/card-driven DTC retailer (this line is mostly wholesale/insurance reimbursement), so it's a low-priority driver with minimal forecast impact regardless of scenario."
dso_days,DSO (days sales outstanding),base,2030,1.5,"Held flat near FY25's 1.4 days - receivables are immaterial for a cash/card-driven DTC retailer (this line is mostly wholesale/insurance reimbursement), so it's a low-priority driver with minimal forecast impact regardless of scenario."
dso_days,DSO (days sales outstanding),best,2026,1.2,Marginal improvement; low materiality either way.
dso_days,DSO (days sales outstanding),best,2027,1.2,Marginal improvement; low materiality either way.
dso_days,DSO (days sales outstanding),best,2028,1.2,Marginal improvement; low materiality either way.
dso_days,DSO (days sales outstanding),best,2029,1.2,Marginal improvement; low materiality either way.
dso_days,DSO (days sales outstanding),best,2030,1.2,Marginal improvement; low materiality either way.
dso_days,DSO (days sales outstanding),worst,2026,2.0,Marginal deterioration; low materiality either way.
dso_days,DSO (days sales outstanding),worst,2027,2.0,Marginal deterioration; low materiality either way.
dso_days,DSO (days sales outstanding),worst,2028,2.0,Marginal deterioration; low materiality either way.
dso_days,DSO (days sales outstanding),worst,2029,2.0,Marginal deterioration; low materiality either way.
dso_days,DSO (days sales outstanding),worst,2030,2.0,Marginal deterioration; low materiality either way.
dio_days,DIO (days inventory outstanding),base,2026,38.0,"Continues the strong FY21-25 improvement (93 -> 41 days) but at a decelerating pace - most of the easy inventory-efficiency gains (better demand forecasting, fewer SKUs held in excess) have likely already been captured."
dio_days,DIO (days inventory outstanding),base,2027,36.75,"Continues the strong FY21-25 improvement (93 -> 41 days) but at a decelerating pace - most of the easy inventory-efficiency gains (better demand forecasting, fewer SKUs held in excess) have likely already been captured."
dio_days,DIO (days inventory outstanding),base,2028,35.5,"Continues the strong FY21-25 improvement (93 -> 41 days) but at a decelerating pace - most of the easy inventory-efficiency gains (better demand forecasting, fewer SKUs held in excess) have likely already been captured."
dio_days,DIO (days inventory outstanding),base,2029,34.25,"Continues the strong FY21-25 improvement (93 -> 41 days) but at a decelerating pace - most of the easy inventory-efficiency gains (better demand forecasting, fewer SKUs held in excess) have likely already been captured."
dio_days,DIO (days inventory outstanding),base,2030,33.0,"Continues the strong FY21-25 improvement (93 -> 41 days) but at a decelerating pace - most of the easy inventory-efficiency gains (better demand forecasting, fewer SKUs held in excess) have likely already been captured."
dio_days,DIO (days inventory outstanding),best,2026,38.0,Efficiency gains continue at closer to the recent pace - further supply chain investment pays off.
dio_days,DIO (days inventory outstanding),best,2027,35.0,Efficiency gains continue at closer to the recent pace - further supply chain investment pays off.
dio_days,DIO (days inventory outstanding),best,2028,32.0,Efficiency gains continue at closer to the recent pace - further supply chain investment pays off.
dio_days,DIO (days inventory outstanding),best,2029,29.0,Efficiency gains continue at closer to the recent pace - further supply chain investment pays off.
dio_days,DIO (days inventory outstanding),best,2030,26.0,Efficiency gains continue at closer to the recent pace - further supply chain investment pays off.
dio_days,DIO (days inventory outstanding),worst,2026,45.0,Partial reversion toward the FY22-23 level (75-98 days) - supply chain disruption or overordering ahead of demand.
dio_days,DIO (days inventory outstanding),worst,2027,46.25,Partial reversion toward the FY22-23 level (75-98 days) - supply chain disruption or overordering ahead of demand.
dio_days,DIO (days inventory outstanding),worst,2028,47.5,Partial reversion toward the FY22-23 level (75-98 days) - supply chain disruption or overordering ahead of demand.
dio_days,DIO (days inventory outstanding),worst,2029,48.75,Partial reversion toward the FY22-23 level (75-98 days) - supply chain disruption or overordering ahead of demand.
dio_days,DIO (days inventory outstanding),worst,2030,50.0,Partial reversion toward the FY22-23 level (75-98 days) - supply chain disruption or overordering ahead of demand.
dpo_days,DPO (days payable outstanding),base,2026,28.0,"Held near the FY23-25 average (~27 days) - payment terms have been stable since the FY21 outlier (50 days, likely a pre-IPO working-capital management artifact)."
dpo_days,DPO (days payable outstanding),base,2027,28.0,"Held near the FY23-25 average (~27 days) - payment terms have been stable since the FY21 outlier (50 days, likely a pre-IPO working-capital management artifact)."
dpo_days,DPO (days payable outstanding),base,2028,28.0,"Held near the FY23-25 average (~27 days) - payment terms have been stable since the FY21 outlier (50 days, likely a pre-IPO working-capital management artifact)."
dpo_days,DPO (days payable outstanding),base,2029,28.0,"Held near the FY23-25 average (~27 days) - payment terms have been stable since the FY21 outlier (50 days, likely a pre-IPO working-capital management artifact)."
dpo_days,DPO (days payable outstanding),base,2030,28.0,"Held near the FY23-25 average (~27 days) - payment terms have been stable since the FY21 outlier (50 days, likely a pre-IPO working-capital management artifact)."
dpo_days,DPO (days payable outstanding),best,2026,30.0,Stronger supplier terms negotiated as WRBY's scale/leverage grows.
dpo_days,DPO (days payable outstanding),best,2027,31.0,Stronger supplier terms negotiated as WRBY's scale/leverage grows.
dpo_days,DPO (days payable outstanding),best,2028,32.0,Stronger supplier terms negotiated as WRBY's scale/leverage grows.
dpo_days,DPO (days payable outstanding),best,2029,33.0,Stronger supplier terms negotiated as WRBY's scale/leverage grows.
dpo_days,DPO (days payable outstanding),best,2030,34.0,Stronger supplier terms negotiated as WRBY's scale/leverage grows.
dpo_days,DPO (days payable outstanding),worst,2026,24.0,Suppliers tighten terms as competitive pressure on WRBY's margins grows.
dpo_days,DPO (days payable outstanding),worst,2027,23.5,Suppliers tighten terms as competitive pressure on WRBY's margins grows.
dpo_days,DPO (days payable outstanding),worst,2028,23.0,Suppliers tighten terms as competitive pressure on WRBY's margins grows.
dpo_days,DPO (days payable outstanding),worst,2029,22.5,Suppliers tighten terms as competitive pressure on WRBY's margins grows.
dpo_days,DPO (days payable outstanding),worst,2030,22.0,Suppliers tighten terms as competitive pressure on WRBY's margins grows.
capex_pct_revenue,Capex % of revenue,base,2026,0.08,"Held near the FY23-25 average (~8.0%) - consistent with continued store expansion and technology investment at a steady pace, in line with the last 3 years' range (7.7%-8.3%)."
capex_pct_revenue,Capex % of revenue,base,2027,0.08,"Held near the FY23-25 average (~8.0%) - consistent with continued store expansion and technology investment at a steady pace, in line with the last 3 years' range (7.7%-8.3%)."
capex_pct_revenue,Capex % of revenue,base,2028,0.08,"Held near the FY23-25 average (~8.0%) - consistent with continued store expansion and technology investment at a steady pace, in line with the last 3 years' range (7.7%-8.3%)."
capex_pct_revenue,Capex % of revenue,base,2029,0.08,"Held near the FY23-25 average (~8.0%) - consistent with continued store expansion and technology investment at a steady pace, in line with the last 3 years' range (7.7%-8.3%)."
capex_pct_revenue,Capex % of revenue,base,2030,0.08,"Held near the FY23-25 average (~8.0%) - consistent with continued store expansion and technology investment at a steady pace, in line with the last 3 years' range (7.7%-8.3%)."
capex_pct_revenue,Capex % of revenue,best,2026,0.075,Slightly more capital-efficient store formats and tech reuse.
capex_pct_revenue,Capex % of revenue,best,2027,0.07375,Slightly more capital-efficient store formats and tech reuse.
capex_pct_revenue,Capex % of revenue,best,2028,0.0725,Slightly more capital-efficient store formats and tech reuse.
capex_pct_revenue,Capex % of revenue,best,2029,0.07125,Slightly more capital-efficient store formats and tech reuse.
capex_pct_revenue,Capex % of revenue,best,2030,0.07,Slightly more capital-efficient store formats and tech reuse.
capex_pct_revenue,Capex % of revenue,worst,2026,0.085,Accelerated store buildout and/or higher technology spend to defend growth.
capex_pct_revenue,Capex % of revenue,worst,2027,0.08875,Accelerated store buildout and/or higher technology spend to defend growth.
capex_pct_revenue,Capex % of revenue,worst,2028,0.0925,Accelerated store buildout and/or higher technology spend to defend growth.
capex_pct_revenue,Capex % of revenue,worst,2029,0.09625,Accelerated store buildout and/or higher technology spend to defend growth.
capex_pct_revenue,Capex % of revenue,worst,2030,0.1,Accelerated store buildout and/or higher technology spend to defend growth.
da_pct_revenue,D&A % of revenue,base,2026,0.058,Held flat near FY24-25 (~5.9%) - D&A has risen alongside the growing capex base (4.0% -> 5.8% FY21-25) and should stabilize once capex and depreciation reach a steady-state ratio.
da_pct_revenue,D&A % of revenue,base,2027,0.058,Held flat near FY24-25 (~5.9%) - D&A has risen alongside the growing capex base (4.0% -> 5.8% FY21-25) and should stabilize once capex and depreciation reach a steady-state ratio.
da_pct_revenue,D&A % of revenue,base,2028,0.058,Held flat near FY24-25 (~5.9%) - D&A has risen alongside the growing capex base (4.0% -> 5.8% FY21-25) and should stabilize once capex and depreciation reach a steady-state ratio.
da_pct_revenue,D&A % of revenue,base,2029,0.058,Held flat near FY24-25 (~5.9%) - D&A has risen alongside the growing capex base (4.0% -> 5.8% FY21-25) and should stabilize once capex and depreciation reach a steady-state ratio.
da_pct_revenue,D&A % of revenue,base,2030,0.058,Held flat near FY24-25 (~5.9%) - D&A has risen alongside the growing capex base (4.0% -> 5.8% FY21-25) and should stabilize once capex and depreciation reach a steady-state ratio.
da_pct_revenue,D&A % of revenue,best,2026,0.056,"Modest efficiency as newer, longer-lived assets are added."
da_pct_revenue,D&A % of revenue,best,2027,0.0555,"Modest efficiency as newer, longer-lived assets are added."
da_pct_revenue,D&A % of revenue,best,2028,0.055,"Modest efficiency as newer, longer-lived assets are added."
da_pct_revenue,D&A % of revenue,best,2029,0.0545,"Modest efficiency as newer, longer-lived assets are added."
da_pct_revenue,D&A % of revenue,best,2030,0.054,"Modest efficiency as newer, longer-lived assets are added."
da_pct_revenue,D&A % of revenue,worst,2026,0.06,Continues rising if capex intensity increases (see worst-case capex).
da_pct_revenue,D&A % of revenue,worst,2027,0.06125,Continues rising if capex intensity increases (see worst-case capex).
da_pct_revenue,D&A % of revenue,worst,2028,0.0625,Continues rising if capex intensity increases (see worst-case capex).
da_pct_revenue,D&A % of revenue,worst,2029,0.06375,Continues rising if capex intensity increases (see worst-case capex).
da_pct_revenue,D&A % of revenue,worst,2030,0.065,Continues rising if capex intensity increases (see worst-case capex).
sbc_pct_revenue,Stock-based comp % of revenue,base,2026,0.035,Continues declining from FY25's 4.0% but levels off - the FY21-25 drop (19.8% -> 4.0%) reflects pre-IPO grants rolling off and won't repeat; expect it to settle near a typical public-company steady state (2.5-3.5% of revenue).
sbc_pct_revenue,Stock-based comp % of revenue,base,2027,0.03325,Continues declining from FY25's 4.0% but levels off - the FY21-25 drop (19.8% -> 4.0%) reflects pre-IPO grants rolling off and won't repeat; expect it to settle near a typical public-company steady state (2.5-3.5% of revenue).
sbc_pct_revenue,Stock-based comp % of revenue,base,2028,0.0315,Continues declining from FY25's 4.0% but levels off - the FY21-25 drop (19.8% -> 4.0%) reflects pre-IPO grants rolling off and won't repeat; expect it to settle near a typical public-company steady state (2.5-3.5% of revenue).
sbc_pct_revenue,Stock-based comp % of revenue,base,2029,0.02975,Continues declining from FY25's 4.0% but levels off - the FY21-25 drop (19.8% -> 4.0%) reflects pre-IPO grants rolling off and won't repeat; expect it to settle near a typical public-company steady state (2.5-3.5% of revenue).
sbc_pct_revenue,Stock-based comp % of revenue,base,2030,0.028,Continues declining from FY25's 4.0% but levels off - the FY21-25 drop (19.8% -> 4.0%) reflects pre-IPO grants rolling off and won't repeat; expect it to settle near a typical public-company steady state (2.5-3.5% of revenue).
sbc_pct_revenue,Stock-based comp % of revenue,best,2026,0.032,Continues toward the lower end of typical public-company SBC levels.
sbc_pct_revenue,Stock-based comp % of revenue,best,2027,0.0295,Continues toward the lower end of typical public-company SBC levels.
sbc_pct_revenue,Stock-based comp % of revenue,best,2028,0.027,Continues toward the lower end of typical public-company SBC levels.
sbc_pct_revenue,Stock-based comp % of revenue,best,2029,0.0245,Continues toward the lower end of typical public-company SBC levels.
sbc_pct_revenue,Stock-based comp % of revenue,best,2030,0.022,Continues toward the lower end of typical public-company SBC levels.
sbc_pct_revenue,Stock-based comp % of revenue,worst,2026,0.038,New equity grants increase to retain talent amid competitive hiring pressure.
sbc_pct_revenue,Stock-based comp % of revenue,worst,2027,0.03975,New equity grants increase to retain talent amid competitive hiring pressure.
sbc_pct_revenue,Stock-based comp % of revenue,worst,2028,0.0415,New equity grants increase to retain talent amid competitive hiring pressure.
sbc_pct_revenue,Stock-based comp % of revenue,worst,2029,0.04325,New equity grants increase to retain talent amid competitive hiring pressure.
sbc_pct_revenue,Stock-based comp % of revenue,worst,2030,0.045,New equity grants increase to retain talent amid competitive hiring pressure.
